TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
1.37,3.1,30,6,0.3
1.56,4.37,30,6,0.51
1.81,2.97,30,6,0.92
2.03,6.3,30,6,0.42
1.54,4.88,30,6,0.45
1.76,5.41,30,6,0.71
1.89,6.41,30,6,0.27
1.61,3.22,30,6,0.67
10.49,5.32,30,6,1.55
9.43,7.12,30,6,1.37
3.26,3.82,30,6,1.1
5.7,3.9,30,6,1.46
0.81,4.05,30,6,0.51
0.81,4.98,30,6,0.09
0.87,3.73,30,6,0.29
0.95,4.01,30,6,0.28
8.34,5.84,30,6,0.58
16.99,6.97,30,6,1.16
1.88,1.5,30,6,0.19
0.64,4.33,30,6,0.57
8.84,4.71,30,6,1.45
10.86,4.19,30,6,1.74
5.23,7.83,30,6,0.55
4.34,3.26,30,6,0.93
3,4.68,30,6,0.83
2.2,4.66,30,6,0.76
6.11,5.38,30,6,0.99
3.79,3.29,30,6,0.22
1.72,2.62,30,6,0.66
1.79,4.32,30,6,0.15
1.38,4.22,30,6,0.23
1.68,3.35,30,6,0.23
3.26,3.16,30,6,0.94
7.93,4.02,30,6,1.4
1.61,4.82,30,6,0.58
5.15,6.94,30,6,0.64
2.85,6.25,30,6,0.3
1.36,4.41,30,6,0.5
1.15,5.36,30,6,0.31
1.84,2.96,30,6,0.4
1.58,3.85,30,6,0.35
1.28,5.48,30,6,0.26
1.46,4.65,30,6,0.63
1.64,7.12,30,6,0.3
1.69,3.5,30,6,0.43
1.38,5.62,30,6,0.53
1.53,2.55,30,6,0.17
1.5,2.93,30,6,0.32
1.5,2.49,30,6,0.2
1.07,2.7,30,6,0.28
1.69,2.37,30,6,0.04
1.68,2.52,30,6,0.44
1.66,3.97,30,6,0.3
1.64,3.03,30,6,0.33
1.34,2.71,30,6,0.34
0.56,2.34,30,6,0.12
1.03,2.99,30,6,0.38
0.58,4.49,30,6,0.55
0.53,2.51,30,6,0.1
0.95,2.6,30,6,0.27
1.21,3.87,30,6,0.16
1.31,5.48,30,6,0.16
10.3,4.27,30,6,1.27
1.75,6.36,30,6,0.22
2.13,6.54,30,6,0.23
4.8,6.28,30,6,0.64
3.88,5.49,30,6,0.57
3.46,5.51,30,6,0.9
1.35,4.53,30,6,0.19
1.34,3.78,30,6,0.19
1.39,5.68,30,6,0.31
1.27,5.92,30,6,0.18
1.22,4.03,30,6,0.19
1.31,5.41,30,6,0.12
1.15,4.99,30,6,0.25
1.26,4.67,30,6,0.25
1.7,4.62,30,6,0.3
2.93,4.74,30,6,0.28
1.81,3.84,30,6,0.36
1.15,2.7,30,6,0.5
1.2,2.64,30,6,0.53
1.23,3.81,30,6,0.1
1.07,3.62,30,6,0.28
1.35,6.2,30,6,0.19
1.58,4.01,30,6,0.35
4.42,7.11,30,6,0.67
0.78,6.52,30,6,0.38
6.05,7.34,30,6,1.33
3.763696194,2.19,30,6,1.06
2.37,8.95,30,6,0.21
1.3,8.59,30,6,0.07
5.32,8.95,30,6,0.27
1.57,5.12,30,6,0.16
1.58,2.57,30,6,0.57
6.84,5.24,30,6,0.79
4.51,6.71,30,6,1.18
1.42,6.55,30,6,0.34
2.95,6.19,30,6,0.41
10.31,7.22,30,6,0.94
4.33,4.02,30,6,0.7
1.4,3.55,30,6,0.41
2.25,4.85,30,6,0.42
1.74,2.35,30,6,0.43
1.77,2.33,30,6,0.41
0.89,2.81,30,6,0.24
1.36,6.65,30,6,0.28
1.49,5.26,30,6,0.25
1.38,3.54,30,6,0.32
2.37,4.04,30,6,0.55
4.82,6.93,30,6,0.49
1.86,3.27,30,6,0.37
5.05,10.97,30,6,0.78
4,5.34,30,6,0.78
1.47,3.39,30,6,0.48
1.64,4.37,30,6,0.22
1.35,3.83,30,6,0.18
1.15,6.71,30,6,0.32
1.39,8.41,30,6,0.22
1.37,4.35,30,6,0.45
1.57,5.9,30,6,0.1
1.79,2.96,30,6,0.43
1.51,3.26,30,6,0.32
1.91,3.87,30,6,0.42
2.95,2.93,30,6,0.48
2.41,4.86,30,6,0.6
1.65,5.1,30,6,0.29
3.19,4.65,30,6,0.9
2.05,4.19,30,6,0.54
1.96,3.13,30,6,0.44
1.88,5.63,30,6,0.2
1.57,4.51,30,6,0.62
0.81,2.87,30,6,0.21
1.46,3.71,30,6,0.42
2.45,4.61,30,6,0.64
6.48,4.04,30,6,0.96
4.06,2.45,30,6,0.65
2.18,5.2,30,6,0.19
1.66,4.6,30,6,0.24
1.45,3.87,30,6,0.4
2.42,3.8,30,6,0.47
1.82,6.37,30,6,0.31
1.79,3.27,30,6,0.44
4.82,5.31,30,6,0.8
1.65,4.38,30,6,0.6
2.45,4.87,30,6,0.77
3.04,4.87,30,6,0.91
